,,,Cell Identity_0,,,,R0 RSRP_0,,,,R0 RS-CINR_0,,,,R0 RSRQ_0
45967.92656,-97.33805169,49.88254473,148,45967.92656,-97.33805169,49.88254473,-86.9,45967.92656,-97.33805169,49.88254473,16.09,45967.92656,-97.33805169,49.88254473,-8.32
45967.92657,-97.33805169,49.88254473,148,45967.92657,-97.33805169,49.88254473,-87.57,45967.92657,-97.33805169,49.88254473,21.32,45967.92657,-97.33805169,49.88254473,-8.51
45967.92659,-97.33805169,49.88254473,148,45967.92659,-97.33805169,49.88254473,-87.47,45967.92659,-97.33805169,49.88254473,16.31,45967.92659,-97.33805169,49.88254473,-9.85
45967.9266,-97.33805169,49.88254473,148,45967.9266,-97.33805169,49.88254473,-87.32,45967.9266,-97.33805169,49.88254473,17.86,45967.9266,-97.33805169,49.88254473,-11.21
45967.92661,-97.33805169,49.88254473,148,45967.92661,-97.33805169,49.88254473,-87.23,45967.92661,-97.33805169,49.88254473,19.5,45967.92661,-97.33805169,49.88254473,-9.62
45967.92662,-97.33804912,49.88254661,148,45967.92662,-97.33804912,49.88254661,-85.86,45967.92662,-97.33804912,49.88254661,19.1,45967.92662,-97.33804912,49.88254661,-7.79
45967.92663,-97.33804214,49.88255171,148,45967.92663,-97.33804214,49.88255171,-88.4,45967.92663,-97.33804214,49.88255171,19.73,45967.92663,-97.33804214,49.88255171,-8.27
45967.92664,-97.33803591,49.88255627,148,45967.92664,-97.33803591,49.88255627,-91.52,45967.92664,-97.33803591,49.88255627,18.95,45967.92664,-97.33803591,49.88255627,-12.02
45967.92665,-97.33803151,49.88255949,148,45967.92665,-97.33803151,49.88255949,-87.31,45967.92665,-97.33803151,49.88255949,18.3,45967.92665,-97.33803151,49.88255949,-8.08
45967.92667,-97.33802328,49.88256551,148,45967.92667,-97.33802328,49.88256551,-84.68,45967.92667,-97.33802328,49.88256551,15.95,45967.92667,-97.33802328,49.88256551,-10.51
45967.92668,-97.33801707,49.88257006,148,45967.92668,-97.33801707,49.88257006,-89.6,45967.92668,-97.33801707,49.88257006,16.54,45967.92668,-97.33801707,49.88257006,-9.26
45967.92669,-97.33801476,49.8825744,148,45967.92669,-97.33801476,49.8825744,-87.85,45967.92669,-97.33801476,49.8825744,19.78,45967.92669,-97.33801476,49.8825744,-7.63
45967.9267,-97.33801602,49.88257832,148,45967.9267,-97.33801602,49.88257832,-89.6,45967.9267,-97.33801602,49.88257832,18.61,45967.9267,-97.33801602,49.88257832,-9.47
45967.92671,-97.33801737,49.88258252,148,45967.92671,-97.33801737,49.88258252,-86.4,45967.92671,-97.33801737,49.88258252,16.99,45967.92671,-97.33801737,49.88258252,-7.82
45967.92672,-97.33801839,49.8825857,148,45967.92672,-97.33801839,49.8825857,-84.71,45967.92672,-97.33801839,49.8825857,19.16,45967.92672,-97.33801839,49.8825857,-9.07
45967.92674,-97.33802004,49.88259085,148,45967.92674,-97.33802004,49.88259085,-84.29,45967.92674,-97.33802004,49.88259085,17.73,45967.92674,-97.33802004,49.88259085,-7.01
45967.92675,-97.33802133,49.8825949,148,45967.92675,-97.33802133,49.8825949,-85.23,45967.92675,-97.33802133,49.8825949,21.81,45967.92675,-97.33802133,49.8825949,-8.4
45967.92676,-97.33802255,49.88259868,148,45967.92676,-97.33802255,49.88259868,-90.31,45967.92676,-97.33802255,49.88259868,18.51,45967.92676,-97.33802255,49.88259868,-8.57
