cellid_cordinate,cell_lon,cell_lat,PCI,cellid_cordinate,cell_lon_RSRP,cell_lat_RSRP,RSRP,cellid_cordinate,cell_lon_SNR,cell_lat_SNR,SNR,cellid_cordinate,cell_lon_RSRQ,cell_lon_RSRQ,RSRQ
45967.92675,-97.33802133,49.8825949,148.0,45967.92675,-97.33802133,49.8825949,-72.56,45967.92675,-97.33802133,49.8825949,21.04,45967.92675,-97.33802133,49.8825949,-8.52
45967.92676,-97.33802255,49.88259868,148.0,45967.92676,-97.33802255,49.88259868,-80.52,45967.92676,-97.33802255,49.88259868,21.95,45967.92676,-97.33802255,49.88259868,-11.65
45967.92677,-97.33802387,49.8826028,148.0,45967.92677,-97.33802387,49.8826028,-73.14,45967.92677,-97.33802387,49.8826028,21.92,45967.92677,-97.33802387,49.8826028,-8.04
45967.92678,-97.33802528,49.8826072,148.0,45967.92678,-97.33802528,49.8826072,-76.49,45967.92678,-97.33802528,49.8826072,34.24,45967.92678,-97.33802528,49.8826072,-13.17
45967.92679,-97.3380265,49.88261101,148.0,45967.92679,-97.3380265,49.88261101,-78.03,45967.92679,-97.3380265,49.88261101,20.8,45967.92679,-97.3380265,49.88261101,-14.98
45967.92681,-97.33802781,49.88261509,148.0,45967.92681,-97.33802781,49.88261509,-77.93,45967.92681,-97.33802781,49.88261509,21.11,45967.92681,-97.33802781,49.88261509,-9.02
45967.92682,-97.33802972,49.88261862,148.0,45967.92682,-97.33802972,49.88261862,-79.31,45967.92682,-97.33802972,49.88261862,21.74,45967.92682,-97.33802972,49.88261862,-10.69
45967.92683,-97.33803235,49.88262078,148.0,45967.92683,-97.33803235,49.88262078,-77.19,45967.92683,-97.33803235,49.88262078,23.08,45967.92683,-97.33803235,49.88262078,-7.85
45967.92684,-97.33803478,49.88262276,148.0,45967.92684,-97.33803478,49.88262276,-75.79,45967.92684,-97.33803478,49.88262276,22.67,45967.92684,-97.33803478,49.88262276,-8.58
45967.92685,-97.33803672,49.88262435,148.0,45967.92685,-97.33803672,49.88262435,-76.7,45967.92685,-97.33803672,49.88262435,21.54,45967.92685,-97.33803672,49.88262435,-9.06
45967.92686,-97.33803988,49.88262694,148.0,45967.92686,-97.33803988,49.88262694,-71.31,45967.92686,-97.33803988,49.88262694,39.41,45967.92686,-97.33803988,49.88262694,-10.77
45967.92687,-97.33804244,49.88262904,148.0,45967.92687,-97.33804244,49.88262904,-74.15,45967.92687,-97.33804244,49.88262904,36.55,45967.92687,-97.33804244,49.88262904,-7.85
45967.92689,-97.33804502,49.88263114,148.0,45967.92689,-97.33804502,49.88263114,-76.71,45967.92689,-97.33804502,49.88263114,20.66,45967.92689,-97.33804502,49.88263114,-9.1
45967.9269,-97.33804771,49.88263335,148.0,45967.9269,-97.33804771,49.88263335,-75.23,45967.9269,-97.33804771,49.88263335,24.14,45967.9269,-97.33804771,49.88263335,-8.95
45967.92691,-97.33805504,49.88263392,148.0,45967.92691,-97.33805504,49.88263392,-77.94,45967.92691,-97.33805504,49.88263392,22.61,45967.92691,-97.33805504,49.88263392,-8.39
45967.92692,-97.33807743,49.88262975,148.0,45967.92692,-97.33807743,49.88262975,-76.72,45967.92692,-97.33807743,49.88262975,23.78,45967.92692,-97.33807743,49.88262975,-7.95
45967.92693,-97.33809665,49.88262495,148.0,45967.92693,-97.33809665,49.88262495,-75.21,45967.92693,-97.33809665,49.88262495,23.0,45967.92693,-97.33809665,49.88262495,-10.56
45967.92694,-97.33809397,49.88261828,148.0,45967.92694,-97.33809397,49.88261828,-76.09,45967.92694,-97.33809397,49.88261828,22.08,45967.92694,-97.33809397,49.88261828,-10.5
45967.92696,-97.3380909,49.88261065,148.0,45967.92696,-97.3380909,49.88261065,-79.33,45967.92696,-97.3380909,49.88261065,23.17,45967.92696,-97.3380909,49.88261065,-10.03
45967.92697,-97.33808819,49.88260392,148.0,45967.92697,-97.33808819,49.88260392,-80.24,45967.92697,-97.33808819,49.88260392,22.79,45967.92697,-97.33808819,49.88260392,-11.51
45967.92698,-97.3380859,49.88259821,148.0,45967.92698,-97.3380859,49.88259821,-75.36,45967.92698,-97.3380859,49.88259821,23.7,45967.92698,-97.3380859,49.88259821,-8.03
45967.92699,-97.3380823,49.88258926,148.0,45967.92699,-97.3380823,49.88258926,-77.22,45967.92699,-97.3380823,49.88258926,22.95,45967.92699,-97.3380823,49.88258926,-9.58
45967.927,-97.3380793,49.8825818,148.0,45967.927,-97.3380793,49.8825818,-75.24,45967.927,-97.3380793,49.8825818,22.65,45967.927,-97.3380793,49.8825818,-8.3
